,compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments,pDTC_Value,SMILES,base_rdkit_smiles
1630,CHEMBL2087443,BGJJEMSVLGIVLI-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-1.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-1.0,COC1=CC=C(C=C1)C2=CC(=NN2)NC(=O)CCCCN3CCCCC3,COc1ccc(-c2cc(NC(=O)CCCCN3CCCCC3)n[nH]2)cc1
1840,CHEMBL66114,BKVIWGRFRKLFIO-UHFFFAOYSA-N,RS-39604,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,COC1=CC(=CC(=C1)COC2=CC(=C(C=C2C(=O)CCC3CCN(CC3)CCNS(=O)(=O)C)Cl)N)OC,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1
2129,CHEMBL2087452,BRVURYNCYHYNFR-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-15.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-15.0,CC1CCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=C(C=C3)OC,COc1ccc(-c2cc(NC(=O)CCCCN3CCC(C)CC3)n[nH]2)cc1
2181,CHEMBL96,BTCSSZJGUNDROE-UHFFFAOYSA-N,GAMMA-AMINOBUTYRIC ACID,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,C(CC(=O)O)CN,NCCCC(=O)O
2535,CHEMBL2204363,CAVNQHZFZKMWIY-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21486038.0,IC50,=,40000.0,NM,,,,,,,,,,,,,,,Inhibition of human recombinant CYP2C9 using dibenzylfluorescein after 45 mins by fluorescence spectrophotometric analysis,"Discovery of 1-[2-(2,4-Dimethylphenylsulfanyl)phenyl]piperazine (Lu AA21004): A Novel Multimodal Compound for the Treatment of Major Depressive Disorder.",J. Med. Chem.,PUBLICATION,,4.3979400086720375,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)Cl.Cl,Cc1ccc(Sc2ccccc2N2CCNCC2)c(Cl)c1
2554,CHEMBL3262156,CBIFADZHFPXCGB-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,,,,Not Determined,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,,COC1=CC=C(C=C1)OC(=O)N2CCNCC2COC3=CN=CC=C3.Cl,COc1ccc(OC(=O)N2CCNCC2COc2cccnc2)cc1
2569,CHEMBL180101,CBQGYUDMJHNJBX-OALUTQOASA-N,ESREBOXETINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,=,31622.78,NM,inconclusive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,4.499999953328896,CCOC1=CC=CC=C1O[C@H]([C@@H]2CNCCO2)C3=CC=CC=C3,CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1
2570,CHEMBL180101,CBQGYUDMJHNJBX-OALUTQOASA-N,ESREBOXETINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,31622.8,NM,Inconclusive,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,4.499999678657065,CCOC1=CC=CC=C1O[C@H]([C@@H]2CNCCO2)C3=CC=CC=C3,CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1
2725,CHEMBL73234,CFJMRBQWBDQYMK-UHFFFAOYSA-N,CARBETAPENTANE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
2956,CHEMBL1082723,CKLPLPZSUQEDRT-WPCRTTGESA-N,NITD609,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20568778.0,IC50,=,5420.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 in human liver microsome by LC-MS/MS analysis,Spirotetrahydro beta-carbolines (spiroindolones): a new class of potent and orally efficacious compounds for the treatment of malaria.,J. Med. Chem.,PUBLICATION,,5.266000713461613,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12
3609,CHEMBL1770373,CZWQBSKNHUVZLI-UHFFFAOYSA-N,PF-3246799,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21195614.0,IC50,>,30000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9,"Pyrimido[4,5-d]azepines as potent and selective 5-HT(2C) receptor agonists: Design, synthesis, and evaluation of PF-3246799 as a treatment for urinary incontinence.",Bioorg. Med. Chem. Lett.,PUBLICATION,,4.522878745280337,C1CNCCC2=NC(=NC=C21)CC3=CC=CC=C3,c1ccc(Cc2ncc3c(n2)CCNCC3)cc1
3716,CHEMBL3186763,DCAMTBFFNOHDAW-DYTRJAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,25244572.0,INHIBITION,=,7.0,%,,,,,,,,,,,,,,,Inhibition of human CYP2C9 at 10 uM,"Development of (E)-2-((1,4-dimethylpiperazin-2-ylidene)amino)-5-nitro-N-phenylbenzamide, ML336: Novel 2-amidinophenylbenzamides as potent inhibitors of venezuelan equine encephalitis virus.",J. Med. Chem.,PUBLICATION,,7.0,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C1)C,CN1CCN(C)C(=Nc2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2)C1
3759,CHEMBL74656,DCSUBABJRXZOMT-RBBKRZOGSA-N,REL-CISAPRIDE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22931300.0,INHIBITION,,,,Active,,,,,,,,,,,,,,Inhibition of human CYP2C9 assessed as ratio of IC50 in absence of NADPH to IC50 for presence of NADPH using 7-methoxy-4-trifluoromethylcoumarin-3-acetic acid as substrate after 30 mins,Preclinical strategy to reduce clinical hepatotoxicity using in vitro bioactivation data for >200 compounds.,Chem. Res. Toxicol.,PUBLICATION,,,CO[C@@H]1CN(CC[C@@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC
3760,CHEMBL74656,DCSUBABJRXZOMT-RBBKRZOGSA-N,REL-CISAPRIDE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inconclusive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CO[C@@H]1CN(CC[C@@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC
3761,CHEMBL74656,DCSUBABJRXZOMT-RBBKRZOGSA-N,REL-CISAPRIDE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,3162.3,NM,Not Active,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,5.499996931948306,CO[C@@H]1CN(CC[C@@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC
3762,CHEMBL74656,DCSUBABJRXZOMT-RBBKRZOGSA-N,REL-CISAPRIDE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,T1/2,>,1.0,HR,,,,,,,,,,,,,,,Half life in human liver microsomes assessed as CYP2C9-mediated parent compound depletion at 1 uM,,ACS Med. Chem. Lett.,PUBLICATION,,1.0,CO[C@@H]1CN(CC[C@@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC
3866,CHEMBL1083788,DFBQTBNRGSIKHN-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,-10.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,-10.0,C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CN=C(C=C3)F,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)nc2)nc1
3979,CHEMBL773,DHMQDGOQFOQNFH-UHFFFAOYSA-N,GLYCINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22931300.0,INHIBITION,,,,Active,,,,,,,,,,,,,,Inhibition of human CYP2C9 assessed as ratio of IC50 in absence of NADPH to IC50 for presence of NADPH using 7-methoxy-4-trifluoromethylcoumarin-3-acetic acid as substrate after 30 mins,Preclinical strategy to reduce clinical hepatotoxicity using in vitro bioactivation data for >200 compounds.,Chem. Res. Toxicol.,PUBLICATION,,,C(C(=O)O)N,NCC(=O)O
3980,CHEMBL773,DHMQDGOQFOQNFH-UHFFFAOYSA-N,GLYCINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,C(C(=O)O)N,NCC(=O)O
3981,CHEMBL773,DHMQDGOQFOQNFH-UHFFFAOYSA-N,GLYCINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C(C(=O)O)N,NCC(=O)O
3982,CHEMBL773,DHMQDGOQFOQNFH-UHFFFAOYSA-N,GLYCINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C(C(=O)O)N,NCC(=O)O
4359,CHEMBL3262129,DQNDQNJPABVUOS-BTQNPOSSSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,,,,Not Determined,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,,C1CN([C@H](CN1)COC2=CN=CC=C2)C3=NC4=C(O3)C=CC(=C4)Br.Cl,Brc1ccc2oc(N3CCNC[C@@H]3COc3cccnc3)nc2c1
4415,CHEMBL3262171,DSBWLGAVGSZBLW-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,=,21.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,21.0,CC1=C(C=CC(=C1)NC(=O)N2CCNCC2COC3=CN=CC=C3)Br.Cl,Cc1cc(NC(=O)N2CCNCC2COc2cccnc2)ccc1Br
4591,CHEMBL2087449,DWJPLBZSCNLIAR-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-10.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-10.0,C1CCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=NC=C3,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccncc2)[nH]n1
4608,CHEMBL1651208,DWTYHCYVKJONSP-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,23009245.0,IC50,=,8200.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 in human liver microsomes,Orally Active Metabotropic Glutamate Subtype 2 Receptor Positive Allosteric Modulators: Structure-Activity Relationships and Assessment in a Rat Model of Nicotine Dependence.,J. Med. Chem.,PUBLICATION,,5.086186147616283,C1CCC(C1)N2CC3=C(C2=O)C=CC(=C3)OCC4=CC(=CC=C4)C5=CC(=C(C=C5)Cl)C(=O)O,O=C(O)c1cc(-c2cccc(COc3ccc4c(c3)CN(C3CCCC3)C4=O)c2)ccc1Cl
4609,CHEMBL1651208,DWTYHCYVKJONSP-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,23009245.0,INHIBITION,=,92.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 in human liver microsomes at 10 uM,Orally Active Metabotropic Glutamate Subtype 2 Receptor Positive Allosteric Modulators: Structure-Activity Relationships and Assessment in a Rat Model of Nicotine Dependence.,J. Med. Chem.,PUBLICATION,,92.0,C1CCC(C1)N2CC3=C(C2=O)C=CC(=C3)OCC4=CC(=CC=C4)C5=CC(=C(C=C5)Cl)C(=O)O,O=C(O)c1cc(-c2cccc(COc3ccc4c(c3)CN(C3CCCC3)C4=O)c2)ccc1Cl
4718,CHEMBL11608,DZGWFCGJZKJUFP-UHFFFAOYSA-N,TYRAMINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,C1=CC(=CC=C1CCN)O,NCCc1ccc(O)cc1
4904,CHEMBL1643883,FDKJLUOOFWBTDY-HNNXBMFYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21146988.0,IC50,<,10000.0,NM,,,,,,,,,,,,,,,Inhibition of human CYP2C9,Novel serotonin type 3 receptor partial agonists for the potential treatment of irritable bowel syndrome.,Bioorg. Med. Chem. Lett.,PUBLICATION,,5.0,CN1C2=CC=CC3=C2C(=N1)CN(C3=O)[C@H]4CN5CCC4CC5,Cn1nc2c3c(cccc31)C(=O)N([C@H]1CN3CCC1CC3)C2
4959,CHEMBL46,FELGMEQIXOGIFQ-UHFFFAOYSA-N,ONDANSETRON,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
4960,CHEMBL46,FELGMEQIXOGIFQ-UHFFFAOYSA-N,ONDANSETRON,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
4977,CHEMBL28992,FEROPKNOYKURCJ-CYBMUJFWSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,=,12589.25,NM,Active,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,4.900000142057633,COC1=CC(=C(C=C1C(=O)N[C@@H]2CN3CCC2CC3)Cl)N,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CN2CCC1CC2
