,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,base_rdkit_smiles
1292,QSLAHFFHHYZNQL-UHFFFAOYNA-N,CHEMBL214990,1559,N,4.85,chembl20,412651,9606,CYP2C9,un28,C1=CC(C2=CC=C(O2)CSC)=CN=C1,CSCc1ccc(-c2cccnc2)o1
1387,VCARWBZQPAPLQA-UHFFFAOYNA-N,CHEMBL1350723,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,ClC1=CC=C(SC=2N=CC=CC2N)C=C1,Nc1cccnc1Sc1ccc(Cl)cc1
1402,VMRVYFWWRRLMTD-UHFFFAOYNA-N,CHEMBL1723292,1559,A,7.55,chembl20,737826,9606,CYP2C9,un28,O(C1=CC=C(N2C=NN=C2)C=C1)C,COc1ccc(-n2cnnc2)cc1
1422,UQMJQKRHTZOCNO-UHFFFAOYNA-N,CHEMBL1600421,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,ClC=1SC(=CN1)COC2=CC=C(Cl)C=C2,Clc1ccc(OCc2cnc(Cl)s2)cc1
1436,XLCUECVXYSQBHK-XWKXFZRBNA-N,CHEMBL1328460,1559,A,5.35,chembl20,737826,9606,CYP2C9,un28,S(C1=NC(O)=CN=N1)CCCCC,CCCCCSc1nncc(O)n1
1468,YCSNQRTVBPIBKY-UHFFFAOYNA-N,CHEMBL1372106,1559,A,5.4,chembl20,737826,9606,CYP2C9,un28,ClC=1C(O)=C(C=C(Cl)C1)CSCCO,OCCSCc1cc(Cl)cc(Cl)c1O
1480,WELSCYIRWKBEBZ-UHFFFAOYNA-N,CHEMBL1558388,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,O1C(=NC=2C1=CC=CC2)C3=NC=CC=C3,c1ccc(-c2nc3ccccc3o2)nc1
1502,XBGIGYSTIRRWKY-UHFFFAOYNA-N,CHEMBL1406631,1559,A,6.35,chembl20,737826,9606,CYP2C9,un28,O1C(C(OC)=O)=CC=C1CNC(CC)C,CCC(C)NCc1ccc(C(=O)OC)o1
1504,YOYYBAFJQXCJDK-UHFFFAOYNA-N,CHEMBL362702,1559,N,4.01,chembl20,305741,9606,CYP2C9,un28,S1C(=CC=C1C(=O)C)C2=CN=CC=C2,CC(=O)c1ccc(-c2cccnc2)s1
1525,YQKIAPVBOXASPE-UHFFFAOYNA-N,CHEMBL1363364,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,O1N(C(=O)CC1(O)C)C2=CC=CC=C2,CC1(O)CC(=O)N(c2ccccc2)O1
1538,ZSTXLHXHAPANSL-UHFFFAOYNA-N,CHEMBL369285,1559,N,4.47,chembl20,412651,9606,CYP2C9,un28,C=1(SC(CNC)=CC1)C2=CN=CC=C2,CNCc1ccc(-c2cccnc2)s1
1552,ZCCUUQDIBDJBTK-UHFFFAOYNA-N,CHEMBL164660,1559,A,5.1,chembl20,688885,9606,CYP2C9,un28,C=1C=2C=C3C(OC(C=C3)=O)=CC2OC1,O=c1ccc2cc3ccoc3cc2o1
1606,BCLZKVFTVWRTDY-XQRVVYSFNA-N,CHEMBL1470395,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,BrC=1OC(/C=C/2\N=C(SC2=O)SC)=CC1,CSC1=N/C(=C\c2ccc(Br)o2)C(=O)S1
1611,BCVBEQPOPKDGFH-NDKGDYFDNA-N,CHEMBL1566670,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,S=C(NC=1C=CC=CC1)CCCC#C,C#CCCCC(=S)Nc1ccccc1
1613,BFINNLMBVSBGRJ-UHFFFAOYNA-N,CHEMBL1591381,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,N1(CC2(CCC1)CCNCC2)C=3N=CC=CC3,c1ccc(N2CCCC3(CCNCC3)C2)nc1
1665,AQWHWIZVJXSSQM-UHFFFAOYNA-N,CHEMBL1364637,1559,N,4.65,chembl20,737826,9606,CYP2C9,un28,O=N(=O)C1=CN2C=3C(N=C2C=C1)=CC=CC3,O=[N+]([O-])c1ccc2nc3ccccc3n2c1
1677,AUZONCFQVSMFAP-UHFFFAOYNA-N,3117,1559,A,6.40001,pubchem,883,9606,CYP2C9,un28,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC
1690,AXRLOUATLDLSKJ-XWKXFZRBNA-N,CHEMBL100917,1559,N,4.38,chembl20,51546,9606,CYP2C9,un28,N(=CNC=1C(CCCC)=CC=CC1)O,CCCCc1ccccc1NC=NO
1702,BYEDVHQRAJNRIW-NDKGDYFDNA-N,CHEMBL1447333,1559,A,6.3,chembl20,737826,9606,CYP2C9,un28,ClC1=NC=2NC(=NC2N=C1Cl)CSCCCC,CCCCSCc1nc2nc(Cl)c(Cl)nc2[nH]1
1715,CCPIDMKPHUHFJQ-UHFFFAOYNA-N,CHEMBL1423078,1559,A,7.35,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(NCCN(C)C)C1=C(SC(=C1)C)C,Cc1cc(S(=O)(=O)NCCN(C)C)c(C)s1
1734,BZBDHAOGBMKWDD-UHFFFAOYNA-N,CHEMBL1550234,1559,A,5.5,chembl20,737826,9606,CYP2C9,un28,O=N(=O)C1=C(N2CCCCC2)N=CC=C1,O=[N+]([O-])c1cccnc1N1CCCCC1
1735,BZDTZZOSIAUOBS-UHFFFAOYNA-N,CHEMBL1565578,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,NC1=C(C#CC2=CC=CC=C2)C=CC=C1,Nc1ccccc1C#Cc1ccccc1
1748,BXBNADAPIHHXJQ-UHFFFAOYNA-N,CHEMBL103469,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,C(N1CCCCC1)(C2=CC=3OCOC3C=C2)=O,O=C(c1ccc2c(c1)OCO2)N1CCCCC1
1755,ACIORWSBZIKYKH-XWKXFZRBNA-N,CHEMBL1498995,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,S1C(C(=O)C=2C=CC=CC2)=CN=C1NC,CNc1ncc(C(=O)c2ccccc2)s1
1813,BMFUKBQBNCLWGI-UHFFFAOYNA-N,CHEMBL359116,1559,N,4.6,chembl20,51532,9606,CYP2C9,un28,C1(C2=CC=C(C=C2)OCCCC)=CNC=C1,CCCCOc1ccc(-c2cc[nH]c2)cc1
1839,BNQHARADWSRQDE-NDKGDYFDNA-N,CHEMBL2018911,1559,N,4.66,chembl20,813101,9606,CYP2C9,un28,N1C=2C=CC(OC)=CC2N=C1SCC3CC3,COc1ccc2[nH]c(SCC3CC3)nc2c1
1845,BKPRZAGIVFQQJB-UHFFFAOYNA-N,CHEMBL1605699,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,S=C(N1CCCCCC1)C2=CC=C(O)C=C2,Oc1ccc(C(=S)N2CCCCCC2)cc1
1911,CFJNAALMLFXEDF-UHFFFAOYNA-N,CHEMBL151280,1559,A,7.34,chembl20,51532,9606,CYP2C9,un28,C1(C=2C=CN=CC2)=CC=C(C=C1)OCCCC,CCCCOc1ccc(-c2ccncc2)cc1
1928,DAVWLGVBAUGEOK-UHFFFAOYNA-N,CHEMBL1327466,1559,A,5.8,chembl20,737826,9606,CYP2C9,un28,S(SCC1=CC=NC=C1)CC2=CC=NC=C2,c1cc(CSSCc2ccncc2)ccn1
1931,DAZQDSHWDALZKB-UHFFFAOYNA-N,CHEMBL1371698,1559,A,5.4,chembl20,737826,9606,CYP2C9,un28,ON(CC1=CC=CC=C1)CCC2=CC=NC=C2,ON(CCc1ccncc1)Cc1ccccc1
1942,CZSQXDMMIUJHSK-WXRBYKJCNA-N,CHEMBL2018906,1559,N,4.3,chembl20,813101,9606,CYP2C9,un28,N1C=2C=CC(=CC2N=C1SCC)OC,CCSc1nc2cc(OC)ccc2[nH]1
1952,CZJMWEKVYJWISH-UHFFFAOYNA-N,CHEMBL1430026,1559,A,5.7,chembl20,737826,9606,CYP2C9,un28,S(C1=CC=C(F)C=C1)CCC2=CC=NC=C2,Fc1ccc(SCCc2ccncc2)cc1
1996,AOUITJMAEYIXEZ-UHFFFAOYNA-N,CHEMBL1407160,1559,N,4.55,chembl20,737826,9606,CYP2C9,un28,BrC1=CC(=C(NCC2=NC=CC=C2)C=C1)C,Cc1cc(Br)ccc1NCc1ccccn1
2029,APDLEHURVVFDOK-UHFFFAOYNA-N,CHEMBL1448839,1559,N,4.5,chembl20,737826,9606,CYP2C9,un28,O=C1N(C=2N=CN=CC2N=C1C)CCOC,COCCn1c(=O)c(C)nc2cncnc21
2034,BQCNSTFWSKOWMA-DJWKRKHSNA-N,CHEMBL277127,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,C(\C=1C(=CC=C(C1)O)O)=C\C(=O)OC,COC(=O)/C=C\c1cc(O)ccc1O
2038,FXYDBFZHLXCWLS-UHFFFAOYNA-N,CHEMBL1430949,1559,A,6.75,chembl20,737826,9606,CYP2C9,un28,O(C=1C=C(CN2N=NN=C2)C=CC1O)C,COc1cc(Cn2cnnn2)ccc1O
2043,FLWJKXIIBXWDDI-NDKGDYFDNA-N,CHEMBL1730832,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,O1C2(C(CC1=O)C(=O)NCC)CCCCC2,CCNC(=O)C1CC(=O)OC12CCCCC2
2045,FZTHRNFPVUIJJD-UHFFFAOYNA-N,CHEMBL1331154,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,O1CCN(C2=NC=C(N(=O)=O)C(=C2)C)CC1,Cc1cc(N2CCOCC2)ncc1[N+](=O)[O-]
2047,DOEWDSDBFRHVAP-WAPJZHGLNA-N,CHEMBL1562420,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(C1=CC=C(C=C1)C)/C=C\C#N,Cc1ccc(S(=O)(=O)/C=C\C#N)cc1
2051,DUUGKQCEGZLZNO-NDKGDYFDNA-N,CHEMBL395915,1559,N,4.4,chembl20,688885,9606,CYP2C9,un28,OC(=O)CC1=CNC=2C=CC(O)=CC12,O=C(O)Cc1c[nH]c2ccc(O)cc12
2056,FYJXIPHXFGFEGT-UHFFFAOYNA-N,CHEMBL1569326,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,O1CCN(C2=NC=C(N(=O)=O)C=C2)CC1,O=[N+]([O-])c1ccc(N2CCOCC2)nc1
2068,GBARCMIFTACERW-WXRBYKJCNA-N,CHEMBL1233960,1559,A,5.3,chembl20,737826,9606,CYP2C9,un28,O=C(NCCO)C=1C=CC(Cl)=CC1,O=C(NCCO)c1ccc(Cl)cc1
2092,DRRLCHDCKRUBPL-UHFFFAOYNA-N,CHEMBL1464821,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,BrC=1C=CC(C=2OC(SC(OC)=O)=NN2)=CC1,COC(=O)Sc1nnc(-c2ccc(Br)cc2)o1
2116,DSEMKRYFPSOGTP-UHFFFAOYNA-N,CHEMBL3208377,1559,A,5.2,chembl20,737826,9606,CYP2C9,un28,O1C=2C(C(=NCCCC)CC1=O)=CC=CC2,CCCCN=C1CC(=O)Oc2ccccc21
2126,DUPBBXMGYXAPCU-XWKXFZRBNA-N,CHEMBL1505382,1559,A,5.15,chembl20,737826,9606,CYP2C9,un28,O=C(NC1C2C(CC(C2)C1)CC)C,CCC1CC2CC(NC(C)=O)C1C2
2130,DMKQQSCPXCUMKK-UHFFFAOYNA-N,CHEMBL1498966,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,O1C(C=2C=CC(=CC2)C(OCC)=O)=CC=C1CO,CCOC(=O)c1ccc(-c2ccc(CO)o2)cc1
2184,GCZZOZBWAZHCAN-BAINRFMONA-N,CHEMBL1256364,1559,N,4.7,chembl20,737826,9606,CYP2C9,un28,N(C(=S)NC=1SC=CN1)C2=CC=CC=C2,S=C(Nc1ccccc1)Nc1nccs1
2219,FUVYXGUCJOVMNB-XWKXFZRBNA-N,CHEMBL2018913,1559,N,4.3,chembl20,813101,9606,CYP2C9,un28,N1C=2C=CC(OC)=CC2N=C1SCCCO,COc1ccc2[nH]c(SCCCO)nc2c1
2225,FQKLSTBZMJQKIB-UHFFFAOYNA-N,CHEMBL1446731,1559,A,5.6,chembl20,737826,9606,CYP2C9,un28,N1(CN(CC2=CC=CC=C2)C)C=NC=C1,CN(Cc1ccccc1)Cn1ccnc1
2235,FTALBRSUTCGOEG-GAJRPKRDNA-N,CHEMBL744,1559,A,5.4,chembl20,688885,9606,CYP2C9,un28,C=1C=C2N=C(SC2=CC1OC(F)(F)F)N,Nc1nc2ccc(OC(F)(F)F)cc2s1
2253,DIZRSPDTAORNSB-UHFFFAOYNA-N,CHEMBL1726069,1559,A,7.45,chembl20,737826,9606,CYP2C9,un28,O1C(C(NCC2=CC=CC=C2)(CC=C)C)=CC=C1,C=CCC(C)(NCc1ccccc1)c1ccco1
2258,DIHXJZHAIHGSAW-MSNMYWDFNA-N,CHEMBL13790,1559,N,4.4,chembl20,688885,9606,CYP2C9,un28,C(N=C(N)N)(=NC=1C=C(Cl)C=CC1)N,NC(N)=NC(N)=Nc1cccc(Cl)c1
2288,DKRVXLMWXJFVEJ-UHFFFAOYNA-N,CHEMBL1552680,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,N1(CCC2(CC1)CCNCC2)CC3=CC=CC=C3,c1ccc(CN2CCC3(CCNCC3)CC2)cc1
2306,DWHVZCLBMTZRQM-GLQJTRGQNA-N,438981,1559,A,5.6999900000000014,pubchem,883,9606,CYP2C9,un28,N=1C=2C(N=C3C1C=CC=C3)=NNC2N,Nc1[nH]nc2nc3ccccc3nc12
2307,DWHVZCLBMTZRQM-HNHMDCDKNA-N,CHEMBL259389,1559,A,5.7,chembl20,737826,9606,CYP2C9,un28,N=1C2=C(N=C3C=CC=CC13)C(=NN2)N,Nc1n[nH]c2nc3ccccc3nc12
2316,DZIILFGADWDKMF-LILDFLRNNA-N,CHEMBL182310,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,C(#C)CCCCCCCCCCCCCCCC(O)=O,C#CCCCCCCCCCCCCCCCC(=O)O
2370,FOBQPWQGVDGQBL-UHFFFAOYNA-N,CHEMBL1547372,1559,A,5.05,chembl20,737826,9606,CYP2C9,un28,ClC=1C=CC(C=2OC(NC)=C(N2)C#N)=CC1,CNc1oc(-c2ccc(Cl)cc2)nc1C#N
2374,FJEJFOWXBCEFJR-UHFFFAOYNA-N,CHEMBL1091971,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,C=1C=C(CC=2C=C[C]=CC2)C=C[C]1,[c]1ccc(Cc2cc[c]cc2)cc1
2428,BQPCBRFOSWMALO-XWKXFZRBNA-N,20763386,1559,A,5.05552,pubchem,54400,9606,CYP2C9,un28,ON=CNC1=CC=C(CCCC)C=C1,CCCCc1ccc(NC=NO)cc1
2434,BWBAZKSTBCFLBK-XWKXFZRBNA-N,CHEMBL1344032,1559,A,5.65,chembl20,737826,9606,CYP2C9,un28,ClC=1C=C(CN2C(=O)NCC2)C=CC1,O=C1NCCN1Cc1cccc(Cl)c1
2435,BVFCWIVZJMNHLS-UHFFFAOYNA-N,CHEMBL1581951,1559,A,6.4,chembl20,737826,9606,CYP2C9,un28,O=N(=O)C1=CC(=CC=C1)CNC(COC)C,COCC(C)NCc1cccc([N+](=O)[O-])c1
2443,BUGYDGFZZOZRHP-WSVSKBAQNA-N,CHEMBL1329218,1559,N,4.7,chembl20,737826,9606,CYP2C9,un28,NC12C[C@@]3(C[C@@](C1)(C)CC(C3)C2)C,C[C@@]12CC3CC(N)(C1)C[C@](C)(C3)C2
2445,BBIOAJZRRCXVOY-WXRBYKJCNA-N,CHEMBL1318758,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,O=N(=O)C=1C(N2CCCCCC2)=NNC1C,Cc1[nH]nc(N2CCCCCC2)c1[N+](=O)[O-]
2448,BGEBZHIAGXMEMV-UHFFFAOYNA-N,CHEMBL24171,1559,A,5.3,chembl20,688885,9606,CYP2C9,un28,C=1C=2C(OC)=C3C(OC(C=C3)=O)=CC2OC1,COc1c2ccoc2cc2oc(=O)ccc12
2499,HXAYFXFRNWLRKN-UHFFFAOYNA-N,CHEMBL1328830,1559,A,6.45,chembl20,737826,9606,CYP2C9,un28,O(C(C#CCN1CCCCC1)(CC)CC)CCC#N,CCC(C#CCN1CCCCC1)(CC)OCCC#N
2528,ATLLIISCQQKAQI-UHFFFAOYNA-N,CHEMBL151646,1559,A,5.12,chembl20,51532,9606,CYP2C9,un28,C=1(C2=CN=CC=C2)C=CC(=CC1)OCCCC,CCCCOc1ccc(-c2cccnc2)cc1
2547,CCLDRSRWGWGQAI-UHFFFAOYNA-N,CHEMBL433737,1559,N,4.36,chembl20,51532,9606,CYP2C9,un28,N1=C(C=CO1)C2=CC=C(C=C2)OCCCC,CCCCOc1ccc(-c2ccon2)cc1
2588,XIJNLZJHRREJKI-UHFFFAOYNA-N,CHEMBL151354,1559,A,7.34,chembl20,51532,9606,CYP2C9,un28,C=1(SN=CC1)C=2C=CC(=CC2)OCCCC,CCCCOc1ccc(-c2ccns2)cc1
2589,XNDXTIRDFNZZPD-WYCIUFAENA-N,CHEMBL1553399,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,P(=O)(O)(O)CC(CC(=N)C(OCC)=O)C,CCOC(=O)C(=N)CC(C)CP(=O)(O)O
2603,YJDAOHJWLUNFLX-NDKGDYFDNA-N,CHEMBL123904,1559,A,5.4,chembl20,737826,9606,CYP2C9,un28,C=1(O)C2=NC(C)=NC(O)=C2C=CC1,Cc1nc(O)c2cccc(O)c2n1
